MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn;time;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;201911111100;3.4;0.0;0;159;80;0.2;319;6.1;13.7;947.3;1011.9;1010.3;-;-;-;-;-;-;-;-
COM;201911111100;5.9;0.0;0;98;71;1.1;155;3.6;6.1;946.1;1014.6;1013.5;-;-;-;-;-;-;-;-
ABO;201911111100;1.6;0.0;10;477;57;-6.1;152;4.0;7.6;859.5;-;1008.5;1416.3;-;-;-;-;-;-;-
AIG;201911111100;6.5;0.0;0;204;65;0.4;341;11.2;19.1;965.9;1011.7;1010.9;-;-;-;-;-;-;-;-
ALT;201911111100;6.7;0.0;8;428;71;1.7;341;16.9;31.7;958.2;1010.6;1009.8;-;-;-;-;-;-;-;-
ARH;201911111100;3.1;0.0;0;34;86;1.0;307;3.6;5.8;963.8;1012.1;1010.7;-;-;-;-;-;-;-;-
AND;201911111100;4.7;0.0;0;107;74;0.5;19;4.0;9.4;897.5;-;1010.5;1429.5;-;-;-;-;-;-;-
ANT;201911111100;3.9;0.0;10;717;50;-5.5;223;36.0;51.8;849.4;-;1010.3;1433.1;-;-;-;-;-;-;-
ARO;201911111100;1.8;0.0;10;638;58;-5.7;69;4.0;8.3;803.7;-;1009.3;1424.2;-;-;-;-;-;-;-
RAG;201911111100;10.2;0.0;7;318;44;-1.6;129;30.6;46.1;950.8;1009.0;1008.9;-;-;-;-;-;-;-;-
BAN;201911111100;-;-;1;434;-;-;-;-;-;-;-;-;-;-;255;28.8;33.5;-1.1;93.5;-2.0
BAS;201911111100;5.8;0.0;7;342;70;0.7;90;7.9;18.7;973.1;1011.4;1010.6;-;-;-;-;-;-;-;-
LAT;201911111100;3.8;0.0;-;-;55;-4.3;269;2.5;6.8;-;-;-;-;-;-;-;-;-;-;-
BER;201911111100;1.4;0.0;0;234;90;-0.1;246;2.2;4.7;946.2;1013.1;1010.9;-;-;-;-;-;-;-;-
BEZ;201911111100;4.6;0.0;0;178;75;0.6;201;3.6;6.8;972.5;1012.1;1011.1;-;-;-;-;-;-;-;-
BIA;201911111100;6.1;0.0;0;142;79;2.8;327;3.2;5.0;981.0;1014.8;1014.1;-;-;-;-;-;-;-;-
BIN;201911111100;4.9;0.0;-;-;53;-3.8;76;12.2;32.0;-;-;-;-;-;-;-;-;-;-;-
BIZ;201911111100;3.4;0.0;0;141;88;1.5;225;3.2;7.6;956.0;1012.5;1010.9;-;-;-;-;-;-;-;-
BIV;201911111100;0.6;0.0;-;-;72;-3.8;205;7.9;16.9;-;-;-;-;-;-;-;-;-;-;-
BIE;201911111100;4.2;0.0;0;233;87;2.3;212;6.8;12.2;930.9;-;1010.3;1418.1;-;-;-;-;-;-;-
BLA;201911111100;-1.1;0.0;0;53;68;-6.3;71;3.2;7.6;838.4;-;1009.6;1429.0;-;-;-;-;-;-;-
BOL;201911111100;4.0;0.0;10;493;74;-0.3;73;3.2;5.0;914.8;-;1009.3;1414.3;-;-;-;-;-;-;-
BOU;201911111100;6.5;-;-;-;71;1.5;322;1.8;5.0;967.3;1012.3;1011.5;-;-;-;-;-;-;-;-
BRZ;201911111100;-;0.0;-;-;-;-;211;3.2;5.8;944.0;-;1010.2;-;-;-;-;-;-;-;-
BUS;201911111100;2.7;0.0;0;75;87;0.7;205;9.0;16.6;965.6;1012.8;1011.3;-;-;-;-;-;-;-;-
BUF;201911111100;-1.8;0.0;0;181;79;-4.9;116;10.4;21.6;796.1;-;1011.0;1444.4;-;-;-;-;-;-;-
FRE;201911111100;-0.9;0.0;0;137;100;-0.9;161;2.9;6.5;872.3;-;1008.6;1413.0;-;-;-;-;-;-;-
CEV;201911111100;7.1;0.0;0;165;69;1.9;218;4.3;7.2;964.3;1014.8;1014.0;-;-;-;-;-;-;-;-
CHZ;201911111100;4.8;0.0;10;321;78;1.3;69;2.9;11.5;958.8;1012.0;1010.8;-;-;-;-;-;-;-;-
CHA;201911111100;-0.5;0.0;0;258;67;-5.9;211;36.4;48.6;830.5;-;1007.2;1409.5;-;-;-;-;-;-;-
CHM;201911111100;-1.0;0.0;0;218;96;-1.5;277;8.3;15.8;879.7;-;1008.5;1410.2;-;-;-;-;-;-;-
CHU;201911111100;7.5;0.0;0;117;52;-1.8;191;18.7;30.2;944.9;1010.5;1009.9;-;-;-;-;-;-;-;-
CHD;201911111100;3.1;0.0;0;254;72;-1.4;154;4.7;9.0;891.8;-;1009.0;1416.3;-;-;-;-;-;-;-
